panel,dataset,condition,metric,value,x,y,stamp
gravity,IH,Native,R@1,69.062500000,,,
gravity,IH,Native,R@5,86.875000000,,,
gravity,IH,+G,R@1,69.375000000,,,
gravity,IH,+G,R@5,86.875000000,,,
gravity,CH,Native,R@1,51.351351351,,,
gravity,CH,Native,R@5,70.270270270,,,
gravity,CH,+G,R@1,64.189189189,,,
gravity,CH,+G,R@5,87.162162162,,,
split,IH,Fixed 2.5 m,R@1,68.437500000,,,
split,IH,Fixed 2.5 m,R@5,87.187500000,,,
split,IH,Adaptive,R@1,69.375000000,,,
split,IH,Adaptive,R@5,86.875000000,,,
split,CH,Fixed 2.5 m,R@1,64.189189189,,,
split,CH,Fixed 2.5 m,R@5,86.486486486,,,
split,CH,Adaptive,R@1,64.189189189,,,
split,CH,Adaptive,R@5,87.162162162,,,
split,H1→H2,Fixed 2.5 m,R@1,48.275862069,,,
split,H1→H2,Fixed 2.5 m,R@5,68.965517241,,,
split,H1→H2,Adaptive,R@1,48.275862069,,,
split,H1→H2,Adaptive,R@5,70.689655172,,,
split,H1→V1,Fixed 2.5 m,R@1,54.385964912,,,
split,H1→V1,Fixed 2.5 m,R@5,80.701754386,,,
split,H1→V1,Adaptive,R@1,54.385964912,,,
split,H1→V1,Adaptive,R@5,82.456140351,,,
trajectory,,map,,,15.057227120,-28.447678703,1764589722.313322306
trajectory,,map,,,15.314574229,-28.999139493,1764589722.718442202
trajectory,,map,,,15.534355509,-29.450708046,1764589723.026266336
trajectory,,map,,,15.838616171,-29.991218839,1764589723.431397676
trajectory,,map,,,16.098279530,-30.554462130,1764589723.836517572
trajectory,,map,,,16.324988951,-31.001134575,1764589724.144333601
trajectory,,map,,,16.595067499,-31.531681134,1764589724.549453497
trajectory,,map,,,16.849555232,-32.091342195,1764589724.958543777
trajectory,,map,,,17.166488275,-32.600801107,1764589725.363661766
trajectory,,map,,,17.459767234,-33.089251631,1764589725.768781900
trajectory,,map,,,17.778037184,-33.636355875,1764589726.177866697
trajectory,,map,,,18.093644612,-34.110054423,1764589726.582986832
trajectory,,map,,,18.386496331,-34.631701784,1764589726.992033243
trajectory,,map,,,18.646727213,-35.119420044,1764589727.397157907
trajectory,,map,,,18.845315135,-35.590957059,1764589727.802277803
trajectory,,map,,,19.071700717,-36.173434027,1764589728.210908413
trajectory,,map,,,19.247480030,-36.695964062,1764589728.616028309
trajectory,,map,,,19.376802470,-37.259033525,1764589729.024720192
trajectory,,map,,,19.491712833,-37.826362284,1764589729.429851055
trajectory,,map,,,19.593140059,-38.360765629,1764589729.834971189
trajectory,,map,,,19.677014941,-38.921252581,1764589730.243690968
trajectory,,map,,,19.683828604,-39.516654447,1764589730.750091076
trajectory,,map,,,19.649889274,-40.120286192,1764589731.260573149
trajectory,,map,,,19.695072621,-40.639698657,1764589731.973533630
trajectory,,map,,,19.659583551,-40.790963854,1764589732.277375221
trajectory,,map,,,19.600582655,-40.889483523,1764589732.479935169
trajectory,,map,,,19.587499571,-40.996356480,1764589732.783775330
trajectory,,map,,,19.636490747,-41.067320548,1764589733.091617346
trajectory,,map,,,19.654534222,-41.086650158,1764589733.294177294
trajectory,,map,,,19.615802117,-41.123720515,1764589733.598017216
trajectory,,map,,,19.530640049,-41.256376877,1764589734.209719181
trajectory,,map,,,19.622801178,-41.287951357,1764589734.716119289
trajectory,,map,,,19.650035196,-41.107190131,1764589751.901076794
trajectory,,map,,,19.720299026,-40.988160015,1764589752.204931021
trajectory,,map,,,19.792703646,-40.871525760,1764589752.407490969
trajectory,,map,,,19.872407836,-40.490226326,1764589752.917877197
trajectory,,map,,,19.927886579,-40.186784158,1764589753.221732140
trajectory,,map,,,19.961998303,-39.925513737,1764589753.424292088
trajectory,,map,,,19.909737985,-39.559669628,1764589753.728132010
trajectory,,map,,,19.858139690,-38.988934690,1764589754.238533258
trajectory,,map,,,19.892496166,-38.408087536,1764589754.643653393
trajectory,,map,,,19.880434117,-37.833872719,1764589755.052766323
trajectory,,map,,,19.876510896,-37.308412480,1764589755.457895279
trajectory,,map,,,19.848615604,-36.823421803,1764589755.761735201
trajectory,,map,,,19.714412807,-36.255970873,1764589756.170857668
trajectory,,map,,,19.579058811,-35.708432064,1764589756.575977802
trajectory,,map,,,19.402061413,-35.251753587,1764589756.883823156
trajectory,,map,,,19.102826098,-34.731635583,1764589757.288940191
trajectory,,map,,,18.831485515,-34.262334807,1764589757.694060326
trajectory,,map,,,18.471382526,-33.732521500,1764589758.103200912
trajectory,,map,,,18.089754222,-33.305617235,1764589758.508321047
trajectory,,map,,,17.788921757,-32.810722650,1764589758.916972399
trajectory,,map,,,17.467131183,-32.330927753,1764589759.322098494
trajectory,,map,,,17.209784761,-31.875068636,1764589759.727218390
trajectory,,map,,,16.995560582,-31.333322900,1764589760.135857821
trajectory,,map,,,16.755119356,-30.838931632,1764589760.540977955
trajectory,,map,,,16.579443376,-30.342111384,1764589760.949601889
trajectory,,map,,,16.334784027,-29.742150687,1764589761.354718447
trajectory,,map,,,16.021765602,-29.215424624,1764589761.759838581
trajectory,,map,,,15.728317678,-28.659102955,1764589762.168479681
trajectory,,map,,,15.486078577,-28.227910859,1764589762.472319841
trajectory,,map,,,15.212744694,-27.721178280,1764589762.881448507
trajectory,,map,,,14.926155302,-27.196302935,1764589763.286581278
trajectory,,map,,,14.579385206,-26.654640928,1764589763.691701174
trajectory,,map,,,14.283603173,-26.164808194,1764589764.100823402
trajectory,,map,,,14.056182816,-25.716661593,1764589764.404663324
trajectory,,map,,,13.732111431,-25.177943102,1764589764.809783220
trajectory,,map,,,13.432094722,-24.633703554,1764589765.218904972
trajectory,,map,,,13.172169740,-24.176527515,1764589765.522745132
trajectory,,map,,,12.870074206,-23.612815759,1764589765.931870461
trajectory,,map,,,12.693533995,-23.033768668,1764589766.336986542
trajectory,,map,,,12.502464303,-22.546027508,1764589766.640826702
trajectory,,map,,,12.232207749,-21.975900100,1764589767.049956083
trajectory,,map,,,11.984781463,-21.364968087,1764589767.455087900
trajectory,,map,,,11.660889784,-20.792343835,1764589767.864198923
trajectory,,map,,,11.391676099,-20.271075635,1764589768.269327879
trajectory,,map,,,11.159830298,-19.804379910,1764589768.573167801
trajectory,,map,,,10.829726803,-19.250619902,1764589768.982280254
trajectory,,map,,,10.565187818,-18.701029737,1764589769.387408733
trajectory,,map,,,10.335637875,-18.232185670,1764589769.691248655
trajectory,,map,,,10.017746232,-17.699377891,1764589770.099909306
trajectory,,map,,,9.754174496,-17.150841759,1764589770.505029440
trajectory,,map,,,9.461979821,-16.595264686,1764589770.913665533
trajectory,,map,,,9.211736503,-16.093539409,1764589771.318790436
trajectory,,map,,,8.973861719,-15.504639158,1764589771.723910332
trajectory,,map,,,8.722789898,-14.981613579,1764589772.132551432
trajectory,,map,,,8.582259610,-14.451775319,1764589772.537671328
trajectory,,map,,,8.447071623,-13.858455166,1764589772.946791887
trajectory,,map,,,8.306274565,-13.343870282,1764589773.351912260
trajectory,,map,,,8.274236701,-12.782276960,1764589773.757032156
trajectory,,map,,,8.239656990,-12.230843065,1764589774.166152477
trajectory,,map,,,8.226644512,-11.855869256,1764589774.469992399
trajectory,,map,,,8.305919706,-11.284828235,1764589774.879115343
trajectory,,map,,,8.409309024,-10.721983413,1764589775.284232378
trajectory,,map,,,8.569757627,-10.201018244,1764589775.689352512
trajectory,,map,,,8.830766158,-9.647374095,1764589776.098471165
trajectory,,map,,,9.062573232,-9.113120668,1764589776.503591061
trajectory,,map,,,9.381003840,-8.628496902,1764589776.912708759
trajectory,,map,,,9.758188728,-8.201229866,1764589777.317829132
trajectory,,map,,,10.155196248,-7.833835936,1764589777.722949028
trajectory,,map,,,10.670721604,-7.580280176,1764589778.131988049
trajectory,,map,,,11.180157857,-7.400630950,1764589778.537107944
trajectory,,map,,,11.674989975,-7.243853379,1764589778.946214676
trajectory,,map,,,12.248220075,-7.074152431,1764589779.351346016
trajectory,,map,,,12.742069409,-6.874872732,1764589779.756465912
trajectory,,map,,,13.240821232,-6.688266134,1764589780.165105820
trajectory,,map,,,13.805154344,-6.456057659,1764589780.570225954
trajectory,,map,,,14.287435183,-6.181438525,1764589780.978867054
trajectory,,map,,,14.780673029,-5.922605465,1764589781.383986712
trajectory,,map,,,15.270391289,-5.630427473,1764589781.789106607
trajectory,,map,,,15.784916575,-5.309145623,1764589782.299028635
trajectory,,map,,,16.289388004,-5.083788969,1764589782.704148769
trajectory,,map,,,16.848525659,-4.834740507,1764589783.214090824
trajectory,,map,,,17.451160852,-4.729854548,1764589783.720490694
trajectory,,map,,,17.966207789,-4.697267086,1764589784.129613400
trajectory,,map,,,18.330493939,-4.694264669,1764589784.433453321
trajectory,,map,,,18.838268164,-4.757207816,1764589784.838573217
trajectory,,map,,,19.354143124,-4.842586218,1764589785.247695208
trajectory,,map,,,19.596823675,-4.899335832,1764589785.450255156
trajectory,,map,,,19.908565820,-5.023857657,1764589785.754095078
trajectory,,map,,,20.220398935,-5.209186662,1764589786.061944246
trajectory,,map,,,20.593668529,-5.336873930,1764589786.467076063
trajectory,,map,,,21.190828235,-5.478702712,1764589787.078756332
trajectory,,map,,,21.720106862,-5.468277258,1764589787.686436415
trajectory,,map,,,22.067872212,-5.371458423,1764589788.298116922
trajectory,,map,,,22.204706544,-5.069898237,1764589789.112356424
trajectory,,map,,,22.275334841,-4.976588462,1764589789.416196346
trajectory,,map,,,22.313401583,-5.004517552,1764589804.867493391
trajectory,,map,,,22.184489297,-5.044407112,1764589805.074054956
trajectory,,map,,,22.024376619,-5.035655287,1764589805.276614904
trajectory,,map,,,21.869131614,-4.971711046,1764589805.479174852
trajectory,,map,,,21.730315644,-4.883352174,1764589805.681734800
trajectory,,map,,,21.535866808,-4.766991315,1764589806.192136526
trajectory,,map,,,21.522322786,-4.757472507,1764589806.293416500
trajectory,,map,,,21.515850627,-4.743348628,1764589806.394696474
trajectory,,map,,,21.514663021,-4.701961323,1764589806.495976448
trajectory,,map,,,21.518850299,-4.638392148,1764589806.597256422
trajectory,,map,,,21.527445163,-4.551838926,1764589806.698536396
trajectory,,map,,,21.529947921,-4.449693143,1764589806.799816370
trajectory,,map,,,21.515580424,-4.336187986,1764589806.905104160
trajectory,,map,,,21.462387798,-4.064053015,1764589807.107677460
trajectory,,map,,,21.425239122,-3.918445009,1764589807.208957434
trajectory,,map,,,21.380812119,-3.771198014,1764589807.310237408
trajectory,,map,,,21.331098923,-3.627565814,1764589807.411517382
trajectory,,map,,,21.279895093,-3.487262612,1764589807.512797356
trajectory,,map,,,21.230595909,-3.349930654,1764589807.614077330
trajectory,,map,,,21.189395060,-3.216561192,1764589807.715357542
trajectory,,map,,,21.137063122,-2.962028137,1764589807.921909571
trajectory,,map,,,21.084761301,-2.753357450,1764589808.124479055
trajectory,,map,,,21.082795506,-2.239732680,1764589808.630878925
trajectory,,map,,,21.245084352,-1.758501148,1764589809.039995432
trajectory,,map,,,21.356511030,-1.260882495,1764589809.445120335
trajectory,,map,,,21.490407162,-0.953135282,1764589809.748960257
trajectory,,map,,,21.614775629,-0.796796319,1764589809.955520153
trajectory,,map,,,21.731747341,-0.650467796,1764589810.158081532
trajectory,,map,,,21.838532365,-0.502592717,1764589810.360641479
trajectory,,map,,,21.884103287,-0.431430437,1764589810.461921453
trajectory,,map,,,21.950834899,-0.271561511,1764589810.664481640
trajectory,,map,,,22.073089957,-0.024010007,1764589810.972325325
trajectory,,map,,,22.451608267,0.464108050,1764589811.478722811
trajectory,,map,,,22.812591770,0.974046816,1764589811.988670349
trajectory,,map,,,23.184322990,1.317711847,1764589812.393804312
trajectory,,map,,,23.591850391,1.699405892,1764589812.904194832
trajectory,,map,,,23.949187842,2.056084769,1764589813.309325218
trajectory,,map,,,24.384930964,2.458197568,1764589813.714445353
trajectory,,map,,,24.708037085,2.932241976,1764589814.224847078
trajectory,,map,,,25.026884019,3.376996841,1764589814.731247187
trajectory,,map,,,25.233374829,3.755832281,1764589815.241651297
trajectory,,map,,,25.255836591,3.899812443,1764589815.444211245
trajectory,,map,,,25.287424393,4.004442903,1764589815.646771193
trajectory,,map,,,25.359297569,4.091826446,1764589815.849331141
trajectory,,map,,,25.458576975,4.232278912,1764589816.157672882
trajectory,,map,,,25.440324434,4.433449921,1764589816.461513042
trajectory,,map,,,25.430916277,4.631241761,1764589816.664072990
trajectory,,map,,,25.326114065,5.119142795,1764589817.681354046
trajectory,,map,,,25.783834015,5.325158559,1764589818.698635340
trajectory,,map,,,26.017650867,5.046875645,1764589819.310796022
trajectory,,map,,,26.184203997,4.887013622,1764589820.226797581
trajectory,,map,,,26.131600737,4.884130126,1764589833.752967834
trajectory,,map,,,26.038132207,4.951020893,1764589833.959522963
trajectory,,map,,,25.962775167,5.044057823,1764589834.162087917
trajectory,,map,,,25.913617472,5.158713432,1764589834.465927839
trajectory,,map,,,25.774715019,5.175333052,1764589835.178889513
trajectory,,map,,,25.855739639,5.231257385,1764589835.482729435
trajectory,,map,,,25.965420216,5.341779122,1764589835.786569357
trajectory,,map,,,25.939034316,5.233071066,1764589837.212970972
trajectory,,map,,,26.039888795,5.304917142,1764589837.415530920
trajectory,,map,,,26.134266749,5.415774704,1764589837.618091106
trajectory,,map,,,26.241965173,5.539890076,1764589837.820651054
